id;Name;Description;Type;Year;Rating;Director;Genres;Image;startDate;endDate;webLink;netflixLink;Duration
60022643;"Akrep Kral";"İmparatorluğunu genişletmeye kararlı aşağılık diktatör Memnon'u öldürmesi için tutulan Mathayus'a bu görevinde büyücü Cassandra yardımcı olur.";Movie;2002;5.5;"Chuck Russell";"Aksiyon, Macera, Fantastik, Bilim kurgu, Gerilim";...;2015-11-26;NULL;https://turflix.com/film/akrep-kral-60022643;https://www.netflix.com/title/60022643;91
70027007;Maske;"Talihsiz bir banka memuru, kendisini en derin arzularına göre davranan deli dolu bir şakacıya çeviren eski bir maske bulur.";Movie;1994;6.9;"Chuck Russell";"Aksiyon, Macera, Komedi, Suç, Fantastik";...;2015-04-14;NULL;https://turflix.com/film/maske-70027007;https://www.netflix.com/title/70027007;101
70100379;"Bay Evet";"Üzücü bir boşanma yaşayan, kredilerden sorumlu bir banka memuru, kişisel gelişim gurusunun etkisiyle bir sene boyunca karşısına çıkan her şeye evet demeyi kabul eder.";Movie;2008;6.8;"Peyton Reed";"Komedi, Romantik";...;2015-04-14;NULL;https://turflix.com/film/bay-evet-70100379;https://www.netflix.com/title/70100379;104
70042688;Ayrılık;"Birlikte yaşayan Gary ve Brooke'un ufak tefek ağız dalaşları, evleri için verdikleri topyekûn bir savaşa dönüşür.";Movie;2006;5.8;"Peyton Reed";"Komedi, Drama, Romantik";...;2015-10-20;NULL;https://turflix.com/film/ayrilik-70042688;https://www.netflix.com/title/70042688;106
70113669;"Arızalı Çiftler";"Evliliklerini kurtarmak isteyen bir çift, sorunlu birliktelikler için tasarlanan bir tatile grup indirimiyle gitmek için üç çifti daha ikna eder.";Movie;2009;5.5;"Peter Billingsley";Komedi;...;2015-04-14;NULL;https://turflix.com/film/arizali-ciftler-70113669;https://www.netflix.com/title/70113669;113
80114788;"Çılgın Ofis Partisi";"Aynı zamanda kız kardeşi olan CEO'nun bölümünü kapatmasını önlemek isteyen şube müdürü, büyük bir müşteriyi kapma umuduyla çılgın bir Noel partisi düzenler.";Movie;2016;5.9;"Will Speck";Komedi;...;2017-07-19;NULL;https://turflix.com/film/cilgin-ofis-partisi-80114788;https://www.netflix.com/title/80114788;105
70299902;"Bizi Kötüden Koru";"Garip bir vakayı soruşturan New York polis memuru, bu olayın şeytan tarafından ruhun ele geçirilmesiyle ilişkili olduğuna onu ikna eden bir rahiple tanışır.";Movie;2014;6.2;"Scott Derrickson";"Suç, Korku";...;2016-06-23;NULL;https://turflix.com/film/bizi-koetueden-koru-70299902;https://www.netflix.com/title/70299902;118
70032591;"Şeytan Çarpması";"Agnostik bir savunma avukatı, ters giden bir şeytan çıkarma ayini sonrasında taksirle cinayetle suçlanan bir peder olan müvekkiline inanmaya başlayınca telaşlanır.";Movie;2005;6.7;"Scott Derrickson";Korku;...;2015-04-14;NULL;https://turflix.com/film/seytan-carpmasi-70032591;https://www.netflix.com/title/70032591;119
80182949;"Armistead Maupin'in Bilinmeyen Hikâyeleri";"Bu belgesel, Kent Masalları'nın yazarı Armistead Maupin'in muhafazakâr geçmişinden başlayarak LGBTQ hakları savunucusu olmasına kadarki hayatını inceliyor.";Movie;2017;7.4;"Jennifer M. Kroot";Belgesel;...;2018-01-08;NULL;https://turflix.com/film/armistead-maupin-in-bilinmeyen-hikayeleri-80182949;https://www.netflix.com/title/80182949;91
70035186;"Da Vinci Şifresi";"Louvre Müzesi'ndeki gizemli cinayetin ardından Harvard Üniversitesi'nden bir profesör, Leonardo da Vinci'nin eserleriyle ilişkili bir yalanlar ağını çözmek zorunda kalır.";Movie;2006;6.6;"Ron Howard";"Suç, Gizem, Gerilim";...;2015-04-14;NULL;https://turflix.com/film/da-vinci-sifresi-70035186;https://www.netflix.com/title/70035186;148
80107552;Cehennem;"Kaçak ve hafıza kaybı yaşayan Harvardlı bir sembol bilimci, dünya nüfusunu kırıp geçirmek üzere tasarlanmış bir salgın hastalığı durdurmak için ipuçlarını çözmelidir.";Movie;2016;6.2;"Ron Howard";"Aksiyon, Macera, Drama, Gizem, Gerilim";...;2018-04-02;NULL;https://turflix.com/film/cehennem-80107552;https://www.netflix.com/title/80107552;121
